# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.15.0
#@/tick	14618
#@/user_id	a97dd0d8-3b8d-40de-b6cd-ee2c5013a0d7
a 	啊	c=2 d=0.952922 t=14618
a nuo 	阿诺	c=1 d=0.865022 t=14618
a wei 	啊喂	c=1 d=0.980199 t=14618
ai 	爱	c=0 d=0.0960789 t=14618
ai hao 	爱好	c=5 d=1.14901 t=14618
ai qing 	爱情	c=1 d=0.782705 t=14618
ai ren 	爱人	c=0 d=0.0932394 t=14618
ai ren huan cun 	爱人缓存	c=1 d=0.937067 t=14618
an 	按	c=5 d=3.37059 t=14618
an bu liao 	按不了	c=1 d=0.980199 t=14618
an hui 	安徽	c=3 d=1.66502 t=14618
an jian 	按键	c=8 d=2.90945 t=14618
an jian 	案件	c=1 d=0.822835 t=14618
an niu 	按钮	c=3 d=2.62802 t=14618
an pai 	安排	c=5 d=3.77574 t=14618
an se 	暗色	c=7 d=4.80079 t=14618
an se mo shi 	暗色模式	c=1 d=1 t=14618
an shi 	暗示	c=1 d=0.88692 t=14618
an shi jian 	按时间	c=1 d=0.790571 t=14618
an wei 	安慰	c=3 d=1.47921 t=14618
an xin 	安心	c=1 d=0.744532 t=14618
an zhao 	按照	c=2 d=1.74925 t=14618
an zhuang 	安装	c=37 d=14.059 t=14618
an zhuang le 	安装了	c=3 d=2.57535 t=14618
an zhuang wan 	安装完	c=1 d=0.980199 t=14618
an zhuo 	安卓	c=3 d=1.89483 t=14618
ao 	奥	c=0 d=0.0951229 t=14618
ba 	吧	c=9 d=3.69992 t=14618
ba 	把	c=36 d=7.78733 t=14618
ba diao 	拔掉	c=1 d=0.980199 t=14618
ba le 	罢了	c=1 d=0.891366 t=14618
ba wo 	把握	c=1 d=0.83527 t=14618
bai bei 	败北	c=2 d=1.31206 t=14618
bai dong 	白洞	c=2 d=0.990845 t=14618
bai du wang pan 	百度网盘	c=4 d=3.8783 t=14618
bai du yu 	百度鱼	c=1 d=0.980199 t=14618
bai du yun 	百度云	c=1 d=0.970446 t=14618
bai fei 	白费	c=3 d=2.65111 t=14618
bai fei dai xing 	百废待兴	c=1 d=0.501576 t=14618
bai hua lin 	白桦林	c=4 d=3.469 t=14618
bai ke 	百科	c=1 d=0.937067 t=14618
bai lan 	摆烂	c=1 d=0.873716 t=14618
bai nian 	百年	c=1 d=0.946485 t=14618
bai se 	白色	c=0 d=0.0980199 t=14618
bai se guan jie 	白色关节	c=2 d=1.90438 t=14618
bai shuang 	白霜	c=4 d=2.84434 t=14618
bai si 	白丝	c=4 d=3.78336 t=14618
bai xiao 	白小	c=1 d=0.847894 t=14618
ban 	半	c=1 d=0.970446 t=14618
ban 	版	c=4 d=2.76905 t=14618
ban 	班	c=2 d=1.67703 t=14618
ban ben 	版本	c=6 d=3.85414 t=14618
ban ben kong zhi 	版本控制	c=1 d=0.980199 t=14618
ban bian 	半边	c=1 d=0.822835 t=14618
ban dao ti 	半导体	c=4 d=2.14754 t=14618
ban dao ti wu li 	半导体物理	c=1 d=0.882497 t=14618
ban fa 	办法	c=1 d=1 t=14618
ban ji 	班级	c=1 d=0.831104 t=14618
ban jing 	半径	c=2 d=1.94128 t=14618
ban tu 	版图	c=1 d=0.995012 t=14618
ban zi dong 	半自动	c=1 d=0.99005 t=14618
bang 	棒	c=1 d=0.818731 t=14618
bang 	邦	c=1 d=0.909373 t=14618
bang ding 	绑定	c=1 d=0.847894 t=14618
bang wo 	帮我	c=9 d=4.52231 t=14618
bang zhu 	帮助	c=2 d=0.93127 t=14618
bao 	保	c=2 d=1.37303 t=14618
bao 	包	c=10 d=5.49592 t=14618
bao 	宝	c=1 d=0.852144 t=14618
bao 	报	c=2 d=1.19484 t=14618
bao chi 	保持	c=3 d=1.35743 t=14618
bao cun 	保存	c=11 d=5.5926 t=14618
bao cuo 	报错	c=5 d=3.20479 t=14618
bao da 	爆大	c=1 d=0.927743 t=14618
bao fu xing 	报复性	c=2 d=1.16923 t=14618
bao gai 	爆改	c=1 d=0.683861 t=14618
bao gao 	报告	c=16 d=7.94727 t=14618
bao gui ji hui 	宝贵机会	c=1 d=0.860708 t=14618
bao he 	饱和	c=1 d=1.04161 t=14618
bao he guang qiang 	饱和光强	c=1 d=0.955997 t=14618
bao hu 	保护	c=7 d=3.28065 t=14618
bao hu huan jing 	保护环境	c=1 d=0.847894 t=14618
bao hu qu 	保护区	c=1 d=0.65377 t=14618
bao hu sheng tai huan jing 	保护生态环境	c=1 d=0.946485 t=14618
bao huo 	爆火	c=1 d=0.527292 t=14618
bao jiu ye 	保就业	c=1 d=0.822835 t=14618
bao kuo 	包括	c=1 d=0.97531 t=14618
bao liu 	保留	c=1 d=0.932394 t=14618
bao wu 	宝物	c=1 d=0.806541 t=14618
bao yan 	保研	c=10 d=3.06561 t=14618
bao yan bian yuan ren 	保研边缘人	c=1 d=0.726149 t=14618
bao yan ming e 	保研名额	c=1 d=0.918512 t=14618
bao zang 	宝藏	c=1 d=0.882497 t=14618
bao zha 	爆炸	c=1 d=0.527292 t=14618
bao zheng 	保证	c=3 d=1.50932 t=14618
bao zhuan 	爆赚	c=1 d=0.71177 t=14618
bei 	倍	c=3 d=2.27888 t=14618
bei 	悲	c=2 d=1.65524 t=14618
bei 	被	c=5 d=2.50792 t=14618
bei di yi guan 	被第一关	c=1 d=0.960789 t=14618
bei fen 	备份	c=3 d=1.94299 t=14618
